PARA h=0.1

X    |EULER AP |EXATA    |ERRO ABSOLUTO

0.10 |1.65500  |1.65886  |0.00386 

0.20 |2.44310  |2.45252  |0.00942 

0.30 |3.39358  |3.41083  |0.01724 

0.40 |4.54217  |4.57024  |0.02807 

0.50 |5.93245  |5.97528  |0.04283 

0.60 |7.61759  |7.68032  |0.06274 

0.70 |9.66245  |9.75180  |0.08935 

0.80 |12.14619 |12.27084 |0.12464 

0.90 |15.16536 |15.33653 |0.17117 

1.00 |18.83774 |19.06990 |0.23217 


PARA h=0.05

X    |EULER AP |EXATA    |ERRO ABSOLUTO

0.05 |1.31375  |1.31422  |0.00047 

0.10 |1.65782  |1.65886  |0.00104 

0.15 |2.03539  |2.03711  |0.00172 

0.20 |2.44998  |2.45252  |0.00254 

0.25 |2.90548  |2.90898  |0.00350 

0.30 |3.40618  |3.41083  |0.00465 

0.35 |3.95683  |3.96282  |0.00599 

0.40 |4.56267  |4.57024  |0.00757 

0.45 |5.22950  |5.23891  |0.00941 

0.50 |5.96372  |5.97528  |0.01155 

0.55 |6.77241  |6.78646  |0.01404 

0.60 |7.66339  |7.68032  |0.01693 

0.65 |8.64530  |8.66557  |0.02027 

0.70 |9.72768  |9.75180  |0.02412 

0.75 |10.92109 |10.94964 |0.02856 

0.80 |12.23717 |12.27084 |0.03367 

0.85 |13.68883 |13.72836 |0.03953 

0.90 |15.29028 |15.33653 |0.04625 

0.95 |17.05726 |17.11121 |0.05395 

1.00 |19.00715 |19.06990 |0.06276 


PARA h=0.1

X    |RUNGE K.  |EXATA     |K1        |K2        |K3        |K4        |ERRO ABSOLUTO
0.45 |5.23890   |5.23891   |12.74047  |13.35249  |13.38309  |14.02878  |0.00000 

0.50 |5.97527   |5.97528   |14.02781  |14.70420  |14.73802  |15.45161  |0.00001 

0.55 |6.78645   |6.78646   |15.45054  |16.19807  |16.23544  |17.02408  |0.00001 

0.60 |7.68031   |7.68032   |17.02290  |17.84904  |17.89035  |18.76193  |0.00001 

0.65 |8.66556   |8.66557   |18.76063  |19.67366  |19.71931  |20.68256  |0.00001 

0.70 |9.75179   |9.75180   |20.68111  |21.69017  |21.74062  |22.80517  |0.00001 

0.75 |10.94963  |10.94964  |22.80358  |23.91875  |23.97451  |25.15103  |0.00001 

0.80 |12.27082  |12.27084  |25.14926  |26.38172  |26.44335  |27.74360  |0.00002 

0.85 |13.72834  |13.72836  |27.74164  |29.10373  |29.17183  |30.60883  |0.00002 

0.90 |15.33651  |15.33653  |30.60667  |32.11200  |32.18727  |33.77540  |0.00002 

0.95 |17.11118  |17.11121  |33.77302  |35.43667  |35.51985  |37.27500  |0.00003 

1.00 |19.06987  |19.06990  |37.27237  |39.11098  |39.20292  |41.14266  |0.00003 

1.05 |21.23193  |21.23197  |41.13975  |43.17173  |43.27333  |45.41708  |0.00004 

1.10 |23.61875  |23.61879  |45.41386  |47.65956  |47.77184  |50.14105  |0.00004 

1.15 |26.25395  |26.25400  |50.13749  |52.61937  |52.74346  |55.36184  |0.00005 

1.20 |29.16368  |29.16374  |55.35791  |58.10080  |58.23795  |61.13170  |0.00006 

1.25 |32.37679  |32.37686  |61.12736  |64.15873  |64.31029  |67.50839  |0.00006 

1.30 |35.92521  |35.92528  |67.50359  |70.85377  |71.02128  |74.55572  |0.00007 

1.35 |39.84418  |39.84426  |74.55041  |78.25293  |78.43806  |82.34422  |0.00008 

1.40 |44.17268  |44.17278  |82.33836  |86.43027  |86.63487  |90.95184  |0.00010 

1.45 |48.95379  |48.95390  |90.94536  |95.46763  |95.69374  |100.46474 |0.00011 

1.50 |54.23510  |54.23523  |100.45758 |105.45546 |105.70535 |110.97811 |0.00013 

1.55 |60.06922  |60.06937  |110.97020 |116.49371 |116.76988 |122.59719 |0.00015 

1.60 |66.51429  |66.51446  |122.58844 |128.69286 |128.99809 |135.43825 |0.00017 

1.65 |73.63457  |73.63476  |135.42859 |142.17501 |142.51234 |149.62982 |0.00019 

1.70 |81.50106  |81.50128  |149.61914 |157.07509 |157.44789 |165.31393 |0.00021 

1.75 |90.19225  |90.19249  |165.30212 |173.54223 |173.95423 |182.64754 |0.00024 

1.80 |99.79487  |99.79514  |182.63450 |191.74122 |192.19656 |201.80415 |0.00028 

1.85 |110.40477 |110.40509 |201.78973 |211.85422 |212.35744 |222.97548 |0.00032 

1.90 |122.12790 |122.12826 |222.95954 |234.08252 |234.63867 |246.37341 |0.00036 

1.95 |135.08133 |135.08174 |246.35580 |258.64859 |259.26323 |272.23212 |0.00041 

2.00 |149.39445 |149.39491 |272.21266 |285.79829 |286.47757 |300.81041 |0.00046 


